iter	RMSE
0	1.116203471
1	1.107198182
2	1.09818722
3	1.090596986
4	1.083970192
5	1.077521388
6	1.072227073
7	1.0672638
8	1.062469712
9	1.058468093
10	1.054337714
11	1.051111194
12	1.047819175
13	1.044448907
14	1.041071433
15	1.038530816
16	1.036372747
17	1.033439104
18	1.03138966
19	1.029441806
20	1.027726582
21	1.025648271
22	1.023731495
23	1.0216357
24	1.019339829
25	1.017923609
26	1.016202881
27	1.014831322
28	1.012936954
29	1.011223924
30	1.009237423
31	1.007574797
32	1.006083286
33	1.004896259
34	1.002920525
35	1.001215976
36	0.9998547846
37	0.998554736
38	0.9971497502
39	0.9957887293
40	0.9943045844
41	0.9929523023
42	0.9916882706
43	0.9902967827
44	0.9892124319
45	0.9877613408
46	0.9867133567
47	0.9854455939
48	0.9841529736
49	0.9829319788
50	0.9818709872
51	0.980707605
52	0.9794363663
53	0.9778179377
54	0.976884174
55	0.9756219859
56	0.9746274304
57	0.9733290118
58	0.9720905366
59	0.970925889
60	0.9698298183
61	0.9686505935
62	0.9673422818
63	0.9662163732
64	0.9651253482
65	0.9641032349
66	0.9629607522
67	0.961790203
68	0.9605826386
69	0.9595510945
70	0.9584617176
71	0.957459116
72	0.9565713232
73	0.9552977808
74	0.9541877162
75	0.9531404599
76	0.9520507723
77	0.9509005525
78	0.9500395929
79	0.9489177804
80	0.9480487127
81	0.947029313
82	0.9459743399
83	0.944842288
84	0.9436870339
85	0.9427897776
86	0.9418247112
87	0.9406511135
88	0.9398078897
89	0.9389778604
90	0.9379784231
91	0.9371196968
92	0.9360453177
93	0.9350161973
94	0.9340885015
95	0.9331601786
96	0.9322302983
97	0.9312049886
98	0.9296931075
99	0.9288597149
100	0.9277599967
101	0.9268452421
102	0.9259141184
103	0.9250418111
104	0.9240612746
105	0.9232761468
106	0.9227863923
107	0.9217993169
108	0.9206313001
109	0.9195547692
110	0.9186424217
111	0.9176746818
112	0.9168342265
113	0.9158599798
114	0.9150889669
115	0.9143396776
116	0.9135890416
117	0.9126904292
118	0.9118658296
119	0.9110216132
120	0.9099246772
121	0.9088661538
122	0.9080748198
123	0.9072902102
124	0.9065481012
125	0.9056684786
126	0.9049530796
127	0.9042350698
128	0.9034556167
129	0.9027837849
130	0.9020111899
131	0.9014346477
132	0.9007157987
133	0.8998028436
134	0.8991992044
135	0.8983704542
136	0.897527877
137	0.8968812129
138	0.8961819774
139	0.895397579
140	0.8947390428
141	0.8942179535
142	0.8933758194
143	0.8925141578
144	0.8918236291
145	0.8911183943
146	0.8902663905
147	0.8893763267
148	0.8886320075
149	0.8878252973
150	0.8871258861
151	0.8863629446
152	0.8856774809
153	0.8849300061
154	0.88414666
155	0.8833586556
156	0.882692564
157	0.8821081673
158	0.8812507558
159	0.880656602
160	0.8799763946
161	0.8794850724
162	0.87872848
163	0.8780978543
164	0.8772802914
165	0.8766289681
166	0.8760018608
167	0.8752215811
168	0.8744977845
169	0.8737742437
170	0.8730249139
171	0.8723554416
172	0.8716515609
173	0.8709794069
174	0.8702273994
175	0.8695194433
176	0.8687185331
177	0.8680774633
178	0.8674121547
179	0.8667526898
180	0.8658943847
181	0.8652187585
182	0.8645312737
183	0.8638628242
184	0.8631176975
185	0.8625604026
186	0.8619682899
187	0.861268253
188	0.8606379981
189	0.8600212788
190	0.8595612981
191	0.8589063399
192	0.8582891098
193	0.8577406943
194	0.8572682928
195	0.8565882969
196	0.8559798281
197	0.8554667224
198	0.8548249188
199	0.8541944232
200	0.8535812521
201	0.8529760805
202	0.8524084169
203	0.8519844527
204	0.8514789192
205	0.8509348062
206	0.8504028819
207	0.8497763736
208	0.8491428707
209	0.8484835796
210	0.8478653042
211	0.847172978
212	0.8466128545
213	0.846032691
214	0.8454385886
215	0.8448091904
216	0.8443216794
217	0.8436383829
218	0.8431738038
219	0.8425111026
220	0.8418778803
221	0.8413797871
222	0.8407716819
223	0.8403013981
224	0.8397666734
225	0.8391789173
226	0.8386628503
227	0.8379949386
228	0.8373681202
229	0.8368165246
230	0.8362636243
231	0.8356892218
232	0.8352335508
233	0.834645619
234	0.8339641121
235	0.8334626583
236	0.8327722942
237	0.8323207455
238	0.8318150377
239	0.8311852627
240	0.8306645137
241	0.8301458075
242	0.8295871336
243	0.8289940109
244	0.8286005597
245	0.828088922
246	0.8275608529
247	0.8271089798
248	0.8265206473
249	0.8262028735
250	0.8257810334
251	0.8253235623
252	0.8247852802
253	0.8242902218
254	0.8237046519
255	0.8231603409
256	0.8226023269
257	0.8221339475
258	0.8215877818
259	0.8209699522
260	0.8205172303
261	0.8201120853
262	0.8195870846
263	0.8190821123
264	0.8185418885
265	0.8181210031
266	0.8177343476
267	0.817232274
268	0.8167554687
269	0.8162457563
270	0.8158646253
271	0.8154402835
272	0.8150875423
273	0.8145215829
274	0.8140700108
275	0.8136885375
276	0.8132589485
277	0.8128801436
278	0.8124754513
279	0.8120336661
280	0.8115913012
281	0.811094107
282	0.8106193693
283	0.8100560431
284	0.8096222186
285	0.8091455963
286	0.8087259256
287	0.8082740603
288	0.807861144
289	0.8072871946
290	0.8067560668
291	0.8063300296
292	0.8058886587
293	0.8054277285
294	0.8049473519
295	0.804453118
296	0.8040433769
297	0.8035865775
298	0.8032630368
299	0.8029073222
300	0.8025346607
301	0.8021224437
302	0.8016243088
303	0.8011537314
304	0.8007356204
305	0.8002820945
306	0.7998056366
307	0.7993310601
308	0.7990292571
309	0.7986110436
310	0.7979502811
311	0.7975596673
312	0.7970546088
313	0.7966034073
314	0.7963080304
315	0.7959030674
316	0.7954445855
317	0.7950137484
318	0.7944245501
319	0.7941171173
320	0.7937275414
321	0.7933530225
322	0.7929137805
323	0.7923260741
324	0.7917743274
325	0.791433208
326	0.7910259234
327	0.7906612204
328	0.7903226321
329	0.7899947796
330	0.7896121877
331	0.7891791636
332	0.7887136557
333	0.7883476834
334	0.7878584407
335	0.7874161586
336	0.7869839257
337	0.7866473803
338	0.7862928545
339	0.7859756091
340	0.7856614904
341	0.7852981785
342	0.7849468523
343	0.7846017116
344	0.7842489447
345	0.783817525
346	0.7834916954
347	0.783085681
348	0.7828829466
349	0.7825725632
350	0.7822863466
351	0.7820229398
352	0.78157577
353	0.7812744095
354	0.7807600257
355	0.7804459753
356	0.7801137955
357	0.7797778418
358	0.779439573
359	0.779068108
360	0.7787213216
361	0.7783139054
362	0.7780573449
363	0.7776673372
364	0.7773387526
365	0.7769590933
366	0.7766260046
367	0.7763003493
368	0.775937699
369	0.7755188525
370	0.7751780147
371	0.7748472575
372	0.7744173312
373	0.7741536353
374	0.7737933345
375	0.7734909508
376	0.7731730574
377	0.7728975356
378	0.7725663367
379	0.7722930181
380	0.7719294535
381	0.771362684
382	0.7711088869
383	0.7707990449
384	0.7703695659
385	0.7700662976
386	0.7697262908
387	0.7693680584
388	0.7690666714
389	0.7687494304
390	0.7683744614
391	0.7680477659
392	0.767729284
393	0.7672934467
394	0.7670076577
395	0.7666665254
396	0.7662978015
397	0.7659748427
398	0.7656395445
399	0.7653425492
400	0.7649370074
401	0.7645195955
402	0.764239281
403	0.7639000023
404	0.7635683527
405	0.7632770714
406	0.7629009597
407	0.7625750147
408	0.7622546848
409	0.761989
410	0.7616028769
411	0.7613124972
412	0.7608524058
413	0.7605492479
414	0.760229591
415	0.7598303551
416	0.7595245361
417	0.759285305
418	0.7590144862
419	0.7587428448
420	0.7583992398
421	0.7580349279
422	0.7576891847
423	0.7574651109
424	0.7572491273
425	0.7569637298
426	0.7566483554
427	0.7563463732
428	0.7560425792
429	0.7558366249
430	0.7555793569
431	0.7552219672
432	0.754935647
433	0.7546215885
434	0.7542517488
435	0.7539214121
436	0.7537111724
437	0.7533321908
438	0.753019919
439	0.7527160107
440	0.7524164239
441	0.7521236482
442	0.7518007229
443	0.7513527924
444	0.7509943343
445	0.7506475231
446	0.7503815557
