iter	Passed	Remaining
0	7	39739
1	14	36562
2	21	35194
3	28	35213
4	35	35037
5	41	34545
6	48	34255
7	54	34001
8	61	33885
9	67	33851
10	74	33858
11	81	33715
12	87	33696
13	94	33636
14	101	33658
15	107	33613
16	114	33573
17	121	33527
18	127	33440
19	134	33400
20	140	33424
21	151	34182
22	157	34113
23	164	34078
24	170	34014
25	177	33957
26	183	33839
27	201	35846
28	208	35734
29	215	35631
30	221	35538
31	228	35480
32	235	35382
33	241	35318
34	248	35256
35	255	35197
36	261	35119
37	268	35011
38	274	34968
39	281	34931
40	288	34857
41	294	34820
42	301	34764
43	308	34722
44	321	35404
45	343	36993
46	350	36981
47	358	36974
48	365	36972
49	373	36979
50	380	36968
51	388	36984
52	396	36980
53	403	36969
54	411	36975
55	418	36974
56	426	36970
57	433	36978
58	441	37015
59	449	36989
60	456	36985
61	464	36976
62	471	36962
63	479	36956
64	486	36960
65	494	36954
66	504	37167
67	515	37405
68	523	37400
69	530	37396
70	540	37492
71	547	37481
72	555	37465
73	562	37459
74	570	37453
75	578	37453
76	585	37464
77	593	37467
78	601	37448
79	608	37432
80	616	37434
81	624	37439
82	631	37432
83	639	37414
84	646	37404
85	654	37392
86	662	37385
87	669	37368
88	677	37371
89	685	37372
90	692	37352
91	699	37337
92	707	37319
93	714	37300
94	727	37540
95	734	37521
96	742	37512
97	749	37495
98	757	37482
99	764	37471
100	772	37455
101	779	37438
102	787	37419
103	794	37409
104	802	37402
105	810	37413
106	817	37398
107	825	37393
108	837	37577
109	846	37648
110	854	37641
111	862	37629
112	870	37626
113	877	37617
114	885	37618
115	893	37600
116	900	37602
117	908	37587
118	916	37583
119	924	37586
120	931	37573
121	939	37567
122	947	37551
123	954	37544
124	962	37536
125	970	37525
126	977	37520
127	985	37504
128	993	37503
129	1000	37498
130	1008	37493
131	1016	37476
132	1023	37460
133	1031	37448
134	1038	37431
135	1046	37415
136	1053	37407
137	1061	37387
138	1068	37377
139	1076	37374
140	1087	37473
141	1095	37465
142	1102	37441
143	1110	37437
144	1117	37433
145	1125	37422
146	1133	37413
147	1141	37410
148	1148	37403
149	1156	37399
150	1164	37393
151	1172	37382
152	1179	37372
153	1187	37365
154	1195	37365
155	1203	37358
156	1210	37345
157	1218	37328
158	1225	37321
159	1233	37309
160	1241	37299
161	1248	37291
162	1256	37279
163	1263	37265
164	1271	37254
165	1284	37418
166	1299	37608
167	1311	37727
168	1319	37717
169	1327	37711
170	1335	37701
171	1342	37692
172	1350	37677
173	1358	37667
174	1365	37652
175	1373	37648
176	1381	37643
177	1389	37630
178	1396	37611
179	1403	37594
180	1411	37584
181	1419	37575
182	1427	37565
183	1434	37555
184	1442	37545
185	1450	37534
186	1457	37523
187	1465	37514
188	1473	37503
189	1481	37496
190	1488	37473
191	1495	37457
192	1503	37449
193	1511	37439
194	1518	37427
195	1526	37413
196	1533	37398
197	1541	37387
198	1549	37376
199	1556	37363
200	1564	37353
201	1574	37390
202	1581	37376
203	1589	37369
204	1597	37357
205	1604	37340
206	1614	37373
207	1621	37363
208	1629	37351
209	1637	37340
210	1644	37330
211	1652	37316
212	1659	37305
213	1667	37292
214	1674	37277
215	1682	37264
216	1689	37250
217	1697	37236
218	1710	37349
219	1718	37338
220	1726	37329
221	1733	37316
222	1741	37303
223	1748	37286
224	1756	37278
225	1764	37276
226	1772	37266
227	1781	37288
228	1789	37279
229	1797	37271
230	1804	37264
231	1812	37260
232	1820	37245
233	1828	37238
234	1835	37226
235	1843	37212
236	1851	37203
237	1858	37189
238	1866	37177
239	1874	37167
240	1881	37149
241	1888	37133
242	1896	37122
243	1903	37110
244	1911	37098
245	1918	37081
246	1926	37066
247	1933	37054
248	1941	37049
249	1949	37046
250	1957	37032
251	1964	37016
252	1972	37006
253	1980	36996
254	1987	36982
255	1995	36972
256	2003	36969
257	2010	36955
258	2018	36944
259	2029	36992
260	2036	36983
261	2044	36971
262	2051	36958
263	2059	36945
264	2067	36934
265	2074	36927
266	2082	36916
267	2089	36897
268	2097	36885
269	2104	36872
270	2112	36859
271	2119	36849
272	2127	36837
273	2135	36828
274	2142	36819
275	2150	36810
276	2158	36798
277	2165	36786
278	2173	36772
279	2180	36761
280	2188	36756
281	2196	36745
282	2203	36734
283	2211	36723
284	2219	36714
285	2226	36706
286	2234	36694
287	2250	36814
288	2259	36825
289	2267	36820
290	2274	36810
291	2282	36802
292	2290	36794
293	2298	36786
294	2306	36779
295	2313	36769
296	2321	36757
297	2329	36750
298	2336	36738
299	2344	36727
300	2351	36713
301	2359	36706
302	2367	36698
303	2375	36691
304	2383	36683
305	2391	36678
306	2400	36698
307	2408	36691
308	2416	36682
309	2424	36673
310	2431	36664
311	2439	36655
312	2447	36648
313	2455	36640
314	2462	36627
315	2470	36618
316	2477	36607
317	2485	36601
318	2493	36589
319	2501	36578
320	2508	36565
321	2516	36557
322	2524	36549
323	2531	36540
324	2539	36529
325	2547	36523
326	2555	36512
327	2562	36504
328	2570	36492
329	2578	36485
330	2585	36477
331	2593	36469
332	2601	36461
333	2609	36448
334	2616	36439
335	2624	36437
336	2632	36425
337	2640	36416
338	2648	36408
339	2655	36397
340	2663	36384
341	2670	36374
342	2678	36367
343	2691	36424
344	2699	36417
345	2708	36435
346	2716	36426
347	2724	36416
348	2731	36407
349	2739	36398
350	2747	36388
351	2755	36380
352	2762	36372
353	2770	36366
354	2778	36357
355	2786	36349
356	2794	36341
357	2802	36332
358	2809	36323
359	2817	36313
360	2825	36307
361	2835	36334
362	2843	36326
363	2851	36318
364	2859	36313
365	2867	36308
366	2875	36303
367	2883	36297
368	2891	36289
369	2899	36283
370	2907	36278
371	2915	36271
372	2923	36265
373	2931	36257
374	2939	36254
375	2950	36285
376	2958	36280
377	2966	36273
378	2974	36264
379	2982	36255
380	2989	36248
381	2997	36237
382	3005	36227
383	3013	36220
384	3020	36209
385	3028	36205
386	3036	36195
387	3044	36185
388	3052	36180
389	3060	36171
390	3067	36163
391	3075	36155
392	3083	36149
393	3091	36141
394	3099	36133
